Player,Role,Amount,Team,Year,Player_Origin,Amount_Cr,Count,Repeated
Dwayne Bravo,All-Rounder,64000000,Chennai Super Kings,2018,Overseas,6.4,2,True
Dwayne Bravo,All-Rounder,44000000,Chennai Super Kings,2022,Overseas,4.4,2,True
Dwayne Smith,Batsman,45000000,Chennai Super Kings,2014,Overseas,4.5,2,True
Dwayne Smith,All-Rounder,23000000,Gujarat Lions,2016,Overseas,2.3,2,True
Eklavya Dwivedi,Wicket Keeper,1000000,Chennai Super Kings,2015,Indian,0.1,3,True
Eklavya Dwivedi,Wicket Keeper,10000000,Gujarat Lions,2016,Indian,1.0,3,True
Eklavya Dwivedi,Wicket Keeper,7500000,Sunrisers Hyderabad,2017,Indian,0.75,3,True
Eoin Morgan,Batsman,15000000,Sunrisers Hyderabad,2015,Overseas,1.5,3,True
Eoin Morgan,Batsman,20000000,Kings XI Punjab,2017,Overseas,2.0,3,True
Eoin Morgan,Batsman,52500000,Kolkata Knight Riders,2020,Overseas,5.25,3,True
Evin Lewis,Batsman,38000000,Mumbai Indians,2018,Overseas,3.8,2,True
Evin Lewis,Batsman,20000000,Lucknow Super Giants,2022,Overseas,2.0,2,True
Fabian Allen,All-Rounder,5000000,Sunrisers Hyderabad,2020,Overseas,0.5,3,True
Fabian Allen,All-Rounder,7500000,Punjab Kings,2021,Overseas,0.75,3,True
Fabian Allen,All-Rounder,7500000,Mumbai Indians,2022,Overseas,0.75,3,True
Faf Du Plessis,Batsman,47500000,Chennai Super Kings,2014,Overseas,4.75,3,True
Faf Du Plessis,Batsman,16000000,Chennai Super Kings,2018,Overseas,1.6,3,True
Faf Du Plessis,Batsman,70000000,Royal Challengers Bangalore,2022,Overseas,7.0,3,True
Farhaan Behardien,All-Rounder,3000000,Kings XI Punjab,2016,Overseas,0.3,1,False
Fazalhaq Farooqi,Bowler,5000000,Sunrisers Hyderabad,2022,Overseas,0.5,1,False
Fidel Edwards,Bowler,15750000,Rajasthan Royals,2013,Overseas,1.575,1,False
Finn Allen,Batsman,8000000,Royal Challengers Bangalore,2022,Overseas,0.8,1,False
Gautam Gambhir,Batsman,28000000,Delhi Daredevils,2018,Indian,2.8,1,False
George Bailey,Batsman,32500000,Kings XI Punjab,2014,Overseas,3.25,1,False
Glenn Maxwell,All-Rounder,75000000,Mumbai Indians,2013,Overseas,7.5,5,True
Glenn Maxwell,All-Rounder,60000000,Kings XI Punjab,2014,Overseas,6.0,5,True
Glenn Maxwell,All-Rounder,90000000,Delhi Daredevils,2018,Overseas,9.0,5,True
Glenn Maxwell,All-Rounder,107500000,Kings XI Punjab,2020,Overseas,10.75,5,True
Glenn Maxwell,All-Rounder,142500000,Royal Challengers Bangalore,2021,Overseas,14.25,5,True
Glenn Phillips,Wicket Keeper,15000000,Sunrisers Hyderabad,2022,Overseas,1.5,1,False
Gurinder Sandhu,Bowler,17000000,Delhi Daredevils,2015,Indian,1.7,1,False
Gurkeerat Singh Mann,All-Rounder,5000000,Gujarat Titans,2022,Indian,0.5,4,True
Gurkeerat Singh Mann,All-Rounder,7500000,Delhi Daredevils,2018,Indian,0.75,4,True
Gurkeerat Singh Mann,All-Rounder,5000000,Royal Challengers Bangalore,2019,Indian,0.5,4,True
Gurkeerat Singh Mann,Batsman,13000000,Kings XI Punjab,2014,Indian,1.3,4,True
Hanuma Vihari,Batsman,1000000,Sunrisers Hyderabad,2015,Indian,0.1,2,True
Hanuma Vihari,Batsman,20000000,Delhi Capitals,2019,Indian,2.0,2,True
Harbhajan Singh,Bowler,20000000,Chennai Super Kings,2018,Indian,2.0,2,True
Harbhajan Singh,Bowler,20000000,Kolkata Knight Riders,2021,Indian,2.0,2,True
Hardik Pandya,All-Rounder,1000000,Mumbai Indians,2015,Indian,0.1,1,False
Hardus Viljoen,Bowler,7500000,Kings XI Punjab,2019,Overseas,0.75,1,False
Harpreet Brar,All-Rounder,2000000,Kings XI Punjab,2019,Indian,0.2,2,True
Harpreet Brar,All-Rounder,38000000,Punjab Kings,2022,Indian,3.8,2,True
Harry Gurney,Bowler,7500000,Kolkata Knight Riders,2019,Overseas,0.75,1,False
Harshal Patel,Bowler,4000000,Royal Challengers Bangalore,2014,Indian,0.4,3,True
Harshal Patel,All-Rounder,2000000,Delhi Daredevils,2018,Indian,0.2,3,True
Harshal Patel,All-Rounder,107500000,Royal Challengers Bangalore,2022,Indian,10.75,3,True
Heinrich Klaasen,Wicket Keeper,5000000,Royal Challengers Bangalore,2019,Overseas,0.5,1,False
Himmat Singh,Batsman,6500000,Royal Challengers Bangalore,2019,Indian,0.65,1,False
Hrithik Shokeen,All-Rounder,2000000,Mumbai Indians,2022,Indian,0.2,1,False
